datetime_UTC,datetime_BJT,upload,EC,ENS_AVG,WRF_BD,manual_correct
2/28/2022 16:00,3/1/2022 0:00,4.7,4.631,4.925,3.661,3.661
2/28/2022 17:00,3/1/2022 1:00,7.2,5.809,6.867,4.553,4.553
2/28/2022 18:00,3/1/2022 2:00,7.7,6.987,8.809,5.408,5.408
2/28/2022 19:00,3/1/2022 3:00,7.8,7.246,8.759,5.777,5.777
2/28/2022 20:00,3/1/2022 4:00,8.1,7.506,8.709,5.748,5.748
2/28/2022 21:00,3/1/2022 5:00,7.7,7.765,8.659,5.626,5.626
2/28/2022 22:00,3/1/2022 6:00,7.3,7.252,8.152,5.386,5.386
2/28/2022 23:00,3/1/2022 7:00,6.8,6.74,7.645,4.987,4.987
3/1/2022 0:00,3/1/2022 8:00,6,6.227,7.139,4.614,4.614
3/1/2022 1:00,3/1/2022 9:00,5,4.903,6.189,4.119,4.119
3/1/2022 2:00,3/1/2022 10:00,3.8,3.579,5.24,3.403,3.403
3/1/2022 3:00,3/1/2022 11:00,2.7,2.256,4.291,3.053,2.7
3/1/2022 4:00,3/1/2022 12:00,2.1,1.992,3.422,2.358,2.1
3/1/2022 5:00,3/1/2022 13:00,1.3,1.728,2.552,1.392,1.3
3/1/2022 6:00,3/1/2022 14:00,0.3,1.464,1.683,0.687,0.3
3/1/2022 7:00,3/1/2022 15:00,2,2.294,3.05,1.758,2
3/1/2022 8:00,3/1/2022 16:00,3.4,3.125,4.418,3.45,3.4
3/1/2022 9:00,3/1/2022 17:00,4.5,3.955,5.785,4.84,3.5
3/1/2022 10:00,3/1/2022 18:00,5.5,4.481,6.109,5.087,4.481
3/1/2022 11:00,3/1/2022 19:00,5.8,5.007,6.433,4.647,4.647
3/1/2022 12:00,3/1/2022 20:00,5.7,5.534,6.757,4.117,4.117
3/1/2022 13:00,3/1/2022 21:00,5.7,5.818,6.686,3.853,3.853
3/1/2022 14:00,3/1/2022 22:00,6.4,6.102,6.616,3.983,3.983
3/1/2022 15:00,3/1/2022 23:00,7.1,6.386,6.546,4.329,4.329
